course,prof,gpa,% of A,% of B,section_,semester
VIST 405,KICKLIGHTER C,3.866,87%,13%,504,2018 Fall
VIST 432,TASSINARY L,3.250,25%,75%,500,2018 Fall
VIST 441,SCHULD D,3.295,46%,44%,500,2018 Fall
VIST 474,EILERS H,3.666,75%,17%,500,2018 Fall
VIST 474,RINGHAM M,3.032,48%,26%,700,2018 Fall
VIST 485,TESSENDORF J,4.000,100%,0%,500,2018 Fall
VIST 486,LEIDERMAN D,3.920,92%,8%,501,2018 Fall
VIST 487,ANDREASSON M,3.888,89%,11%,500,2018 Fall
VIST 494,FINCH S,4.000,100%,0%,550,2018 Fall
VIZA 613,MCNAMARA A,3.500,50%,50%,600,2018 Fall
VIZA 622,HOUSE F,3.933,93%,7%,600,2018 Fall
VIZA 630,LAFAYETTE C,3.300,40%,50%,600,2018 Fall
VIZA 643,LAFAYETTE C,4.000,100%,0%,600,2018 Fall
VIZA 654,AKLEMAN E,3.647,71%,24%,600,2018 Fall
VIZA 685,DAVISON R,4.000,100%,0%,603,2018 Fall
VIZA 689,TESSENDORF J,3.714,86%,0%,600,2018 Fall
